"VCF0702","VCF0101","VCF0110","VCF0114","VCF0301","VCF0310","VCF0009z","vote","age","education","income","party_id","interest","weight"
2,25,2,4,6,3,1,1,25,"HighSchool",4,"WeakRep",3,1
2,33,1,4,5,2,1,1,33,"LessHS",4,"IndLeanRep",2,1
2,26,2,3,4,2,1,1,26,"HighSchool",3,"Independent",2,1
2,63,2,3,7,3,1,1,63,"HighSchool",3,"StrongRep",3,1
2,66,2,1,7,3,1,1,66,"HighSchool",1,"StrongRep",3,1
2,48,2,4,3,3,1,1,48,"HighSchool",4,"IndLeanDem",3,1
2,70,1,1,4,1,1,1,70,"LessHS",1,"Independent",1,1
2,25,2,2,2,3,1,1,25,"HighSchool",2,"WeakDem",3,1
2,35,1,4,6,3,1,1,35,"LessHS",4,"WeakRep",3,1
2,33,2,3,2,3,1,1,33,"HighSchool",3,"WeakDem",3,1
2,50,4,4,7,3,1,1,50,"CollegePlus",4,"StrongRep",3,1
2,62,2,4,3,3,1,1,62,"HighSchool",4,"IndLeanDem",3,1
2,53,1,1,2,1,1,1,53,"LessHS",1,"WeakDem",1,1
2,61,2,1,7,3,1,1,61,"HighSchool",1,"StrongRep",3,1
2,43,2,3,2,2,1,1,43,"HighSchool",3,"WeakDem",2,1
2,66,1,4,1,3,1,1,66,"LessHS",4,"StrongDem",3,1
2,64,1,1,1,1,1,1,64,"LessHS",1,"StrongDem",1,1
2,28,2,2,7,1,1,1,28,"HighSchool",2,"StrongRep",1,1
2,28,2,3,2,2,1,1,28,"HighSchool",3,"WeakDem",2,1
2,24,2,3,5,3,1,1,24,"HighSchool",3,"IndLeanRep",3,1
2,70,1,4,7,3,1,1,70,"LessHS",4,"StrongRep",3,1
2,50,1,2,3,2,1,1,50,"LessHS",2,"IndLeanDem",2,1
2,51,2,1,3,2,1,1,51,"HighSchool",1,"IndLeanDem",2,1
2,66,1,1,7,1,1,1,66,"LessHS",1,"StrongRep",1,1
